Author,Fields
T. Damour,gr-qc;gr-qc;gr-qc;gr-qc;gr-qc;gr-qc;gr-qc;gr-qc;hep-th;astro-ph
Paul A. Thompson,math;hep-ph;math;math;cs;math;math;math;eess;stat
Sara Cohen,math;math;math;math;math;cs;math;math;math;math
Marco Abate,math;math;math;math;math;math;math;math;math;math
Edward G. Dunne,math;math;math;math;math;gr-qc;hep-th;math;hep-th;math
Sara Tompson,cs;cs;cond-mat;hep-ex;math;math;math;math;math;math
H. Tasso,physics;physics;physics;physics;physics;physics;physics;physics;physics;physics
Igor Halperin,cond-mat;hep-ph;hep-ph;q-fin;q-fin;hep-ph;hep-ph;hep-ph;hep-ph;hep-ph
N. Sabadini,math
Shane T. Jensen,math;math;astro-ph;q-bio;stat;q-fin;stat;stat;math;stat
Alexander Russakovskii,math;math;math;math;math;math;math;math;math;math
Mikko Valkama,cs;cs;cs;cs;cs;cs;cs;cs;cs;cs
Federico Mini,cs
Robert Kitt,q-fin;q-fin;cond-mat;physics;astro-ph;physics;physics;astro-ph;astro-ph;astro-ph
Lawrence Camilletti,cs;math;astro-ph;astro-ph;astro-ph;astro-ph;astro-ph;astro-ph;hep-ex;hep-ex
Shekhar Garde,physics;physics;cond-mat;cond-mat;cond-mat;math;cond-mat;physics;cond-mat;cond-mat
Zsolt Palotai,cs;nlin;cs;astro-ph;astro-ph;cond-mat;cond-mat;cond-mat;cond-mat;hep-ph
Hubert Schicketanz,math;math;hep-th;hep-th;math;cs;math;math-ph;math;math
Ilia Bisnovatyi,cs;cs;cs;cs;cs;cs;hep-ph;hep-ph;math;math
Michael H. Freedman,math;math;hep-th;cond-mat;quant-ph;math;quant-ph;quant-ph;math;quant-ph
Paulo A Atkinson,math;math;math;math;math;math;astro-ph;nlin;math;math
Michael I. Jordan,stat;stat;gr-qc;math-ph;hep-th;hep-th;math;hep-th;math;math
Ran Ren,cs;cs;gr-qc;gr-qc;hep-th;hep-th;hep-th;cs;cs;math-ph
Luca Sanguinetti,cs;cs;cs;cs;cs;cs;cs;cs;cs;cs
S. Sudarshan,hep-th;hep-th;hep-th;quant-ph;hep-th;quant-ph;quant-ph;hep-ex;quant-ph;physics
Walter Trebels,math;math;math;math;math;math;math;math;math;astro-ph
Laurent Sanchez-Palencia,cond-mat;cond-mat;quant-ph;cond-mat;cond-mat;cond-mat;quant-ph;quant-ph;physics;quant-ph
J. M. Arias,nucl-th;hep-th;nucl-th;nucl-th;nucl-th;hep-th;nucl-th;nucl-th;nucl-th;nucl-th
D. P. Xu,q-bio;math;cs;cond-mat;hep-ph;physics;math;cond-mat;cond-mat;nlin
M. V. Feigelman,cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat
Sergey Pinchuk,math;math;math;math;math;math;math;math;nlin;nlin
G. Rosensteel,nucl-th;nucl-th;math-ph;nucl-th;nucl-th;nucl-th;nucl-th;nucl-th;nucl-th;nucl-th
M. Sigvardsson,q-bio;math;math;astro-ph;astro-ph;astro-ph;cond-mat;cond-mat;cs;gr-qc
K. A. Chao,gr-qc;nlin;cond-mat;physics;nlin;physics;math;cond-mat;nlin;nlin
Norihiko Nishiguchi,cond-mat;cond-mat;math;math;math;hep-lat;hep-lat;math;math;astro-ph
A. Krasnitz,hep-lat;hep-lat;hep-ph;hep-ph;hep-ph;hep-lat;hep-ph;hep-ph;hep-ph;hep-lat
G. Ferri,math;quant-ph;cond-mat;physics;astro-ph;astro-ph;cond-mat;cond-mat;cond-mat;cond-mat
Helen L. Packer,q-bio;cs;cs;cs;cs;cs;math-ph;math;math-ph;astro-ph
Masami Miyakawa,stat;stat;stat;math;astro-ph;physics;cs;astro-ph;astro-ph;cond-mat
Nicolas Meuleau,cs;cs;cs;cs;cs;cs;cs;cs;cs;cs
Pradeep Shenoy,cs;cond-mat;cond-mat;cond-mat;quant-ph;quant-ph;quant-ph;physics;quant-ph;quant-ph
Yi Li,math;math;cs;math;math;math;math;math;math;math
Jean-Michel Muller,cs;quant-ph;math;cs;nucl-th;cs;cs;cs;cs;cs
M. A. Lisa,physics;astro-ph;astro-ph;astro-ph;gr-qc;gr-qc;gr-qc;gr-qc;astro-ph;nucl-ex
Roberto Ierusalimschy,cs;cs;cs;cs;cs;cs;math;math;math;math
Yu-Wei Hsieh,cs;math;math;math;math;math;quant-ph;hep-ph;quant-ph;quant-ph
Xian-ping Ge,cond-mat;cond-mat;cond-mat;math;math;cond-mat;cond-mat;physics;cs;cond-mat
Harald Ellmann,quant-ph;cond-mat;math;astro-ph;cond-mat;cs;hep-ph;hep-ph;hep-ph;hep-ph
Oliver Schnetz,math-ph;math;hep-th;hep-th;hep-th;physics;hep-th;hep-th;math;physics
Keishi Sakanushi,cs;physics;cs;cond-mat;cond-mat;cond-mat;cs;cond-mat;physics
V. Levinski,physics;physics;math;physics;hep-ph;math;astro-ph;astro-ph;astro-ph;astro-ph
E. Lopez Torres,cond-mat;physics;hep-ex;physics;math;hep-th;physics;math;math;physics
R. L. Bates,math;cond-mat;astro-ph;gr-qc;cond-mat;astro-ph;physics;physics;astro-ph;astro-ph
