,0,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,0
0,"Dynamical Equilibrium, trajectories study in an economical system. The
  case of the labor market",Patrick Letrémy,Marie Cottrell,Patrice Gaubert,Joseph Rynkiewicz,,,,,,,,,,,,,,,,,,,,,,stat.AP
1,"Construction of Bayesian Deformable Models via Stochastic Approximation
  Algorithm: A Convergence Study",Stéphanie Allassonnière,Estelle Kuhn,Alain Trouvé,,,,,,,,,,,,,,,,,,,,,,,stat.CO
2,Lasso type classifiers with a reject option,Marten Wegkamp,,,,,,,,,,,,,,,,,,,,,,,,,stat.ML
3,Inflated Beta Distributions,Raydonal Ospina,Silvia L. P. Ferrari,,,,,,,,,,,,,,,,,,,,,,,,stat.ME
4,Nonparametric Volatility Density Estimation,Bert van Es,Peter Spreij,Harry van Zanten,,,,,,,,,,,,,,,,,,,,,,,math.ST
5,The Inter-Strand Modes of the DNA as a Probe into MW-Radiation,Voislav Golo,,,,,,,,,,,,,,,,,,,,,,,,,q-bio.BM
6,"Probing subtle fluorescence dynamics in cellular proteins by streak
  camera based Fluorescence Lifetime Imaging Microscopy",R. V. Krishnan,Eva Biener,Jian-Hua Zhang,Robert Heckel,Brian Herman,,,,,,,,,,,,,,,,,,,,,q-bio.CB
7,Human housekeeping genes are compact,Eli Eisenberg,Erez Y. Levanon,,,,,,,,,,,,,,,,,,,,,,,,q-bio.GN
8,Fold-Hopf Bursting in a Model for Calcium Signal Transduction,Lutz Brusch,Wolfram Lorenz,Michal Or-Guil,Markus Bär,Ursula Kummer,,,,,,,,,,,,,,,,,,,,,q-bio.MN
9,"Synchronization and oscillatory dynamics in heterogeneous mutually
  inhibited neurons",J. A. White,C. C. Chow,J. Ritt,C. Soto-Trevino,N. Kopell,,,,,,,,,,,,,,,,,,,,,q-bio.NC
10,Results and Limitations of the Soliton Theory of DNA Transcription,G. Gaeta,,,,,,,,,,,,,,,,,,,,,,,,,q-bio.OT
11,"Plant defense multigene families: I. Divergence of Fusarium
  solani-induced expression in Pisum and Lathyrus",Sandhya Tewari,Stuart M. Brown,Brian Fristensky,,,,,,,,,,,,,,,,,,,,,,,q-bio.PE
12,"Probabilistic estimation of microarray data reliability and underlying
  gene expression",S. Bilke,T. Breslin,M. Sigvardsson,,,,,,,,,,,,,,,,,,,,,,,q-bio.QM
13,Bi-Phasic Vesicles: instability induced by adsorption of proteins,Jean-Marc Allain,Martine Ben Amar,,,,,,,,,,,,,,,,,,,,,,,,q-bio.SC
14,"Control of spiral waves and turbulent states in a cardiac model by
  travelling-wave perturbations",Peng-Ye Wang,Ping Xie,Hua-Wei Yin,,,,,,,,,,,,,,,,,,,,,,,q-bio.TO
15,"Flysig: Dataflow Oriented Delay-Insensitive Processor for Rapid
  Prototyping of Signal Processing",Wolfram Hardt,Bernd Kleinjohann,,,,,,,,,,,,,,,,,,,,,,,,cs.AR
16,Dynamic Backtracking,M. L. Ginsberg,,,,,,,,,,,,,,,,,,,,,,,,,cs.AI
17,Linear Segmentation and Segment Significance,Min-Yen Kan,Judith L. Klavans,Kathleen R. McKeown,,,,,,,,,,,,,,,,,,,,,,,cs.CL
18,Nested satisfiability,Donald E. Knuth,,,,,,,,,,,,,,,,,,,,,,,,,cs.CC
19,Chip-level CMP Modeling and Smart Dummy for HDP and Conformal CVD Films,George Yong Liu,Ray F. Zhang,Kelvin Hsu,Lawrence Camilletti,,,,,,,,,,,,,,,,,,,,,,cs.CE
20,Computational Geometry Column 34,Pankaj K. Agarwal,Joseph O'Rourke,,,,,,,,,,,,,,,,,,,,,,,,cs.CG
21,Bundling Equilibrium in Combinatorial auctions,Ron Holzman,Noa Kfir-Dahav,Dov Monderer,Moshe Tennenholtz,,,,,,,,,,,,,,,,,,,,,,cs.GT
22,A Linear Shift Invariant Multiscale Transform,Andreas Siebert,,,,,,,,,,,,,,,,,,,,,,,,,cs.CV
23,Influencing Software Usage,Lorrie Faith Cranor,Rebecca N. Wright,,,,,,,,,,,,,,,,,,,,,,,,cs.CY
24,"Security amplification by composition: The case of doubly-iterated,
  ideal ciphers",William Aiello,Mihir Bellare,Giovanni Di Crescenzo,Ramarathnam Venkatesan,,,,,,,,,,,,,,,,,,,,,,cs.CR
25,Context-free multilanguages,Donald E. Knuth,,,,,,,,,,,,,,,,,,,,,,,,,cs.DS
26,"The Five-Minute Rule Ten Years Later, and Other Computer Storage Rules
  of Thumb",Jim Gray,Goetz Graefe,,,,,,,,,,,,,,,,,,,,,,,,cs.DB
